model;0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9
ABR(DTR);0.002352941;0.017647059;0.036470588;0.067058824;0.135294118;0.14;0.188235294;0.284705882;0.445882353
ABR(ETR);0;0.004705882;0.034117647;0.06;0.137647059;0.154117647;0.222352941;0.315294118;0.485882353
ABR(GBR);0.010588235;0.034117647;0.072941176;0.118823529;0.2;0.231764706;0.3;0.390588235;0.507058824
ABR(HGBR);0.008235294;0.025882353;0.062352941;0.105882353;0.212941176;0.230588235;0.302352941;0.396470588;0.515294118
ABR(KNNR);0.012941176;0.041176471;0.064705882;0.094117647;0.168235294;0.187058824;0.252941176;0.329411765;0.478823529
ABR(RFR);0.004705882;0.016470588;0.042352941;0.072941176;0.132941176;0.148235294;0.216470588;0.309411765;0.443529412
BR(DTR);0.003529412;0.012941176;0.041176471;0.068235294;0.150588235;0.163529412;0.242352941;0.327058824;0.468235294
BR(ETR);0;0.003529412;0.016470588;0.042352941;0.116470588;0.129411765;0.209411765;0.304705882;0.452941176
BR(GBR);0;0.002352941;0.02;0.055294118;0.102352941;0.108235294;0.156470588;0.285882353;0.421176471
BR(HGBR);0.002352941;0.012941176;0.04;0.076470588;0.131764706;0.147058824;0.194117647;0.289411765;0.414117647
BR(KNNR);0;0.011764706;0.038823529;0.056470588;0.108235294;0.124705882;0.194117647;0.263529412;0.396470588
BR(RFR);0;0;0.02;0.041176471;0.087058824;0.102352941;0.165882353;0.263529412;0.430588235
BR(NuSVR);0;0.009411765;0.041176471;0.062352941;0.098823529;0.107058824;0.164705882;0.26;0.384705882
DTR;0.002352941;0.031764706;0.057647059;0.092941176;0.16;0.168235294;0.22;0.312941176;0.461176471
ETR;0.001176471;0.005882353;0.025882353;0.055294118;0.14;0.156470588;0.225882353;0.32;0.495294118
GBR;0;0.003529412;0.022352941;0.055294118;0.112941176;0.125882353;0.177647059;0.285882353;0.414117647
HGBR;0;0.009411765;0.037647059;0.069411765;0.137647059;0.16;0.222352941;0.316470588;0.44
KNNR;0.001176471;0.024705882;0.052941176;0.076470588;0.121176471;0.134117647;0.205882353;0.297647059;0.417647059
RFR;0;0.003529412;0.024705882;0.056470588;0.132941176;0.151764706;0.211764706;0.296470588;0.430588235
NuSVR;0;0.018823529;0.050588235;0.067058824;0.102352941;0.111764706;0.171764706;0.258823529;0.384705882
