Duration;model;test SEM;test error;train SEM;train error
271ms;Pipeline(steps=[('standardscaler', StandardScaler()), ('ridge', Ridge())]);0.00510427;0.16592886;0.001474227;0.140826838
311ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('bayesianridge', BayesianRidge())])";0.006089384;0.166138007;0.001335302;0.134983019
11.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=LinearSVR(max_iter=100000)))])";0.009163225;0.166911565;0.001272096;0.130846728
462ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor', AdaBoostRegressor(estimator=Ridge()))])";0.004182052;0.16745514;0.001954821;0.153166291
0.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('huberregressor', HuberRegressor())])";0.008623816;0.168247164;0.00125002;0.128103839
4.3s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=HuberRegressor()))])";0.008729124;0.169261659;0.001180237;0.129691042
0.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=LinearRegression()))])";0.003649168;0.169935138;0.001855346;0.153523091
0.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=BayesianRidge()))])";0.00469218;0.170883328;0.001955486;0.15231885
1.2s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('linearsvr', LinearSVR(max_iter=100000))])";0.009090592;0.17335266;0.001158814;0.127456211
1.2s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=ARDRegression()))])";0.004399504;0.173963638;0.001890352;0.15301822
1.3s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=PassiveAggressiveRegressor()))])";0.005291709;0.187766105;0.00286644;0.180100005
3.6min;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=TheilSenRegressor()))])";0.005108608;0.188911618;0.00250837;0.168373346
1.8min;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=LinearSVR(max_iter=100000)))])";0.003642111;0.190206699;0.002327935;0.180271788
0.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=SGDRegressor()))])";0.003851658;0.193189055;0.00282403;0.17374889
293ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('sgdregressor', SGDRegressor())])";0.004218015;0.195673331;0.003080106;0.16592195
0.7s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=SGDRegressor()))])";0.006780578;0.197771089;0.009609377;0.17546085
299ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('passiveaggressiveregressor', PassiveAggressiveRegressor())])";0.007151737;0.198217916;0.004450319;0.182840235
1.1s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=TweedieRegressor()))])";0.004565088;0.202415684;0.002612983;0.183210723
371ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('tweedieregressor', TweedieRegressor())])";0.003914415;0.202917819;0.002623667;0.184409724
1.2s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=TweedieRegressor()))])";0.003997478;0.214948654;0.002790085;0.197093713
424ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=OrthogonalMatchingPursuit()))])";0.004001356;0.229225824;0.001917412;0.225092646
0.5s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=OrthogonalMatchingPursuit()))])";0.005799598;0.231629018;0.002985956;0.203289611
275ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('orthogonalmatchingpursuit', OrthogonalMatchingPursuit())])";0.006066487;0.233511698;0.003135675;0.202718797
12.3s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=RANSACRegressor()))])";0.070726362;0.265310613;0.044246648;0.214773695
0.7s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor', BaggingRegressor(estimator=LassoLars()))])";0.005308546;0.266967919;0.001893449;0.263654866
393ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=ElasticNet()))])";0.005756225;0.267221411;0.001899713;0.263419785
