id;qpu_selection_job_id;circuit_name;qpu;compiler;result;shots;histogram_intersection_value;analyzed_width;analyzed_depth;analyzed_multi_qubit_gate_depth;analyzed_total_number_of_operations;analyzed_number_of_single_qubit_gates;analyzed_number_of_multi_qubit_gates;analyzed_number_of_measurement_operations;avg_single_qubit_gate_error;avg_multi_qubit_gate_error;avg_single_qubit_gate_time;avg_multi_qubit_gate_time;avg_readout_error;t1;t2;queue_size;original_width;original_depth;original_multi_qubit_gate_depth;original_total_number_of_operations;original_number_of_single_qubit_gates;original_number_of_multi_qubit_gates;original_number_of_measurement_operations
91d3ac47-5102-49b8-a1b0-866769224d66;70d72ffc-701c-44d1-ba2f-173e99919f04;shor-fix-15-qiskit;ibmq_quito;qiskit;{000=4030, 001=20, 010=114, 011=4, 100=3858, 101=21, 110=144, 111=1};8192;0.962890625;4;24;9;37;25;9;3;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;28;5;17;6;26;15;8;3
229cd9a7-f625-41d9-ad79-f60b86008437;70d72ffc-701c-44d1-ba2f-173e99919f04;shor-fix-15-qiskit;ibmq_quito;pytket;{000=4253, 001=29, 010=28, 100=3821, 101=33, 110=28};8192;0.966796875;5;11;2;13;8;2;3;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;28;5;17;6;26;15;8;3
da4a5660-047b-4908-90f4-da284a273039;3d5cd9e5-26ed-4254-9b38-6ea5ab228929;bv-fix-00110-qiskit;ibmq_quito;qiskit;{00000=146, 00001=5, 00010=327, 00011=15, 00100=533, 00101=8, 00110=6881, 00111=107, 01010=14, 01100=15, 01110=138, 01111=3};8192;0.83996582;5;9;2;34;28;2;4;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;29;5;6;2;21;15;2;4
fcd54a29-9808-49ec-8abe-5f95c29789fa;70d72ffc-701c-44d1-ba2f-173e99919f04;shor-fix-15-qiskit;ibmq_lima;pytket;{000=4123, 001=55, 010=43, 100=3890, 101=53, 110=27, 111=1};8192;0.975219727;5;11;2;13;8;2;3;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;32;5;17;6;26;15;8;3
723fe869-2e55-485e-bb02-982aa785a994;70d72ffc-701c-44d1-ba2f-173e99919f04;shor-fix-15-qiskit;ibmq_lima;qiskit;{000=3874, 001=233, 010=120, 011=18, 100=3596, 101=220, 110=114, 111=17};8192;0.911865234;5;20;11;30;13;14;3;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;32;5;17;6;26;15;8;3
15aa410e-4638-42ee-878d-5c227a7524fc;3d5cd9e5-26ed-4254-9b38-6ea5ab228929;bv-fix-00110-qiskit;ibmq_quito;pytket;{00000=116, 00001=3, 00010=571, 00011=6, 00100=549, 00101=9, 00110=6704, 00111=63, 01000=3, 01010=12, 01100=10, 01110=144, 01111=2};8192;0.818359375;5;10;2;36;30;2;4;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;29;5;6;2;21;15;2;4
ab0a571e-4b46-4926-a56f-282cbafac0d2;eb72f9fa-d226-4132-8a0e-a0a57f1f8163;grover-fix-aandb-sat-qasm;ibmq_lima;pytket;{00=269, 01=499, 10=1130, 11=6294};8192;0.768310547;3;27;9;45;34;9;2;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;16;3;14;6;21;13;6;2
5799d65d-0db0-450f-a6cb-c459d9a9c3f1;eb72f9fa-d226-4132-8a0e-a0a57f1f8163;grover-fix-aandb-sat-qasm;ibmq_lima;qiskit;{00=630, 01=1225, 10=1395, 11=4942};8192;0.603271484;3;32;10;50;38;10;2;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;16;3;14;6;21;13;6;2
f4a21438-579e-417a-a40d-894c46794946;274327c1-6abd-400d-bb41-b950b9c539d5;Grover SAT Qiskit;ibmq_lima;pytket;{00=260, 01=761, 10=1071, 11=6100};8192;0.744628906;3;27;9;45;34;9;2;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;22;3;14;6;21;13;6;2
ff2e8219-812b-48fb-aee6-51492abf98e6;70d72ffc-701c-44d1-ba2f-173e99919f04;shor-fix-15-qiskit;ibmq_bogota;pytket;{000=4092, 001=58, 010=63, 100=3853, 101=71, 110=54, 111=1};8192;0.969848633;5;11;2;13;8;2;3;0.000184556;0.008349201;26.666.666;39.822.223;0.03982;94376.96;135534.03;277;5;17;6;26;15;8;3
77bbac2f-0196-4b03-a07f-f0bd931ecbbb;274327c1-6abd-400d-bb41-b950b9c539d5;Grover SAT Qiskit;ibmq_bogota;pytket;{00=384, 01=1354, 10=679, 11=5775};8192;0.704956055;3;27;9;45;34;9;2;0.000184556;0.008349201;26.666.666;39.822.223;0.03982;94376.96;135534.03;285;3;14;6;21;13;6;2
afbe1777-1377-483e-8b2f-5f86f3559923;274327c1-6abd-400d-bb41-b950b9c539d5;Grover SAT Qiskit;ibmq_belem;pytket;{00=367, 01=892, 10=704, 11=6229};8192;0.760375977;3;29;9;45;34;9;2;0.000254337;0.012949518;26.666.666;5.457.778;0.0274;111939.77;98319.54;40;3;14;6;21;13;6;2
fd89b40b-1ed9-4477-a8fc-16cc00994e85;274327c1-6abd-400d-bb41-b950b9c539d5;Grover SAT Qiskit;ibmq_quito;pytket;{00=180, 01=384, 10=858, 11=6770};8192;0.826416016;3;27;9;45;34;9;2;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;35;3;14;6;21;13;6;2
92cf338e-4672-4acf-a91c-7bfe552786b8;274327c1-6abd-400d-bb41-b950b9c539d5;Grover SAT Qiskit;ibmq_lima;qiskit;{00=699, 01=1400, 10=1184, 11=4909};8192;0.599243164;3;40;11;62;49;11;2;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;22;3;14;6;21;13;6;2
dd4536fb-1297-44b9-9ebf-588bde33fdb6;274327c1-6abd-400d-bb41-b950b9c539d5;Grover SAT Qiskit;ibmq_belem;qiskit;{00=465, 01=759, 10=887, 11=6081};8192;0.74230957;3;41;11;63;50;11;2;0.000254337;0.012949518;26.666.666;5.457.778;0.0274;111939.77;98319.54;40;3;14;6;21;13;6;2
66209ad4-4b2c-4fa0-92dd-3160ed11960c;274327c1-6abd-400d-bb41-b950b9c539d5;Grover SAT Qiskit;ibmq_quito;qiskit;{00=374, 01=748, 10=792, 11=6278};8192;0.766357422;3;40;12;65;51;12;2;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;35;3;14;6;21;13;6;2
6cc62d0c-5aa0-470c-b21f-70a575234b98;274327c1-6abd-400d-bb41-b950b9c539d5;Grover SAT Qiskit;ibmq_bogota;qiskit;{00=393, 01=821, 10=667, 11=6311};8192;0.770385742;3;30;13;51;36;13;2;0.000184556;0.008349201;26.666.666;39.822.223;0.03982;94376.96;135534.03;285;3;14;6;21;13;6;2
9f278339-7363-4d62-aed3-f98c2460e004;3d5cd9e5-26ed-4254-9b38-6ea5ab228929;bv-fix-00110-qiskit;ibmq_lima;qiskit;{00000=99, 00001=4, 00010=963, 00011=17, 00100=419, 00101=4, 00110=6339, 00111=90, 01000=4, 01010=31, 01011=1, 01100=20, 01101=1, 01110=195, 01111=5};8192;0.773803711;5;9;2;34;28;2;4;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;18;5;6;2;21;15;2;4
a9ac0c92-bc26-4eff-886b-2a76efc53713;3d5cd9e5-26ed-4254-9b38-6ea5ab228929;bv-fix-00110-qiskit;ibmq_lima;pytket;{00000=200, 00001=11, 00010=1056, 00011=57, 00100=604, 00101=36, 00110=5786, 00111=295, 01000=8, 01010=21, 01100=22, 01110=89, 01111=7};8192;0.706298828;5;10;2;36;30;2;4;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;18;5;6;2;21;15;2;4
8bc0d9e2-2619-4de9-8c68-3ee10c755fc3;3d5cd9e5-26ed-4254-9b38-6ea5ab228929;bv-fix-00110-qiskit;ibmq_belem;pytket;{00000=206, 00001=5, 00010=591, 00011=9, 00100=592, 00101=22, 00110=6013, 00111=99, 01000=21, 01010=49, 01100=61, 01101=3, 01110=513, 01111=8};8192;0.734008789;5;10;2;36;30;2;4;0.000254337;0.012949518;26.666.666;5.457.778;0.0274;111939.77;98319.54;11;5;6;2;21;15;2;4
d543a31d-ff0a-4135-ac72-289b1cc6c675;34029076-382a-4b90-aae2-18659f11942d;pattern0-1_2_3-4nCliffs10seed1;ibmq_lima;qiskit;{00000=5048, 00001=296, 00010=256, 00011=246, 00100=62, 00101=7, 00110=4, 00111=4, 01000=776, 01001=54, 01010=32, 01011=27, 01100=11, 10000=616, 10001=34, 10010=39, 10011=24, 10100=6, 10101=1, 11000=554, 11001=40, 11010=27, 11011=22, 11100=5, 11101=1};8192;0.616210938;5;91;17;286;249;32;5;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;17;5;76;17;237;200;32;5
e41862f1-d98f-49f5-823d-fc0fee3c18ff;34029076-382a-4b90-aae2-18659f11942d;pattern0-1_2_3-4nCliffs10seed1;ibmq_quito;pytket;{00000=5930, 00001=232, 00010=210, 00011=229, 00100=108, 00101=1, 00110=3, 00111=6, 01000=302, 01001=29, 01010=58, 01011=54, 01100=2, 10000=477, 10001=57, 10010=24, 10011=73, 10100=7, 10101=2, 10111=2, 11000=271, 11001=50, 11010=24, 11011=35, 11100=3, 11101=1, 11110=1, 11111=1};8192;0.723876953;5;95;11;305;279;21;5;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;28;5;76;17;237;200;32;5
144e863b-518e-44a6-a40a-3a5b72644e89;34029076-382a-4b90-aae2-18659f11942d;pattern0-1_2_3-4nCliffs10seed1;ibmq_belem;qiskit;{00000=4739, 00001=278, 00010=300, 00011=337, 00100=75, 00101=2, 00110=9, 00111=4, 01000=576, 01001=83, 01010=63, 01011=63, 01100=11, 01101=2, 01110=3, 01111=1, 10000=553, 10001=86, 10010=74, 10011=78, 10100=8, 10101=2, 10111=5, 11000=566, 11001=89, 11010=82, 11011=89, 11100=9, 11101=1, 11110=2, 11111=2};8192;0.578491211;5;88;17;287;250;32;5;0.000254337;0.012949518;26.666.666;5.457.778;0.0274;111939.77;98319.54;9;5;76;17;237;200;32;5
e38a676d-b177-4f46-bed5-4878f778db00;34029076-382a-4b90-aae2-18659f11942d;pattern0-1_2_3-4nCliffs10seed1;ibmq_belem;pytket;{00000=5591, 00001=283, 00010=310, 00011=316, 00100=51, 00101=4, 00110=2, 00111=4, 01000=420, 01001=63, 01010=70, 01011=122, 01100=7, 01110=1, 01111=2, 10000=281, 10001=45, 10010=70, 10011=136, 10100=4, 10111=3, 11000=262, 11001=37, 11010=62, 11011=42, 11100=1, 11110=3};8192;0.682495117;5;95;11;305;279;21;5;0.000254337;0.012949518;26.666.666;5.457.778;0.0274;111939.77;98319.54;9;5;76;17;237;200;32;5
dc864a7c-df85-4dba-97cb-135f005ac7f1;34029076-382a-4b90-aae2-18659f11942d;pattern0-1_2_3-4nCliffs10seed1;ibmq_lima;pytket;{00000=5466, 00001=178, 00010=238, 00011=161, 00100=94, 00101=3, 00110=1, 00111=3, 01000=709, 01001=19, 01010=26, 01011=19, 01100=7, 01111=1, 10000=603, 10001=20, 10010=25, 10011=17, 10100=11, 11000=513, 11001=25, 11010=24, 11011=18, 11100=10, 11110=1};8192;0.667236328;5;95;11;305;279;21;5;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;17;5;76;17;237;200;32;5
ca9cadbd-8538-4e2b-ba61-2a905781a792;34029076-382a-4b90-aae2-18659f11942d;pattern0-1_2_3-4nCliffs10seed1;ibmq_quito;qiskit;{00000=5615, 00001=258, 00010=362, 00011=416, 00100=89, 00101=3, 00110=4, 00111=7, 01000=273, 01001=74, 01010=90, 01011=109, 01100=2, 01111=2, 10000=224, 10001=25, 10010=35, 10011=66, 10100=3, 10101=1, 11000=240, 11001=36, 11010=62, 11011=186, 11100=6, 11110=1, 11111=3};8192;0.685424805;5;91;17;277;240;32;5;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;28;5;76;17;237;200;32;5
2016cfe4-6479-41b3-babb-eaa25c3140d3;1027e650-967d-45d6-b60f-200368104ce5;pattern0-1_2_3-4nCliffs1seed1;ibmq_belem;qiskit;{00000=6558, 00001=179, 00010=161, 00011=248, 00100=58, 00101=4, 00110=1, 00111=2, 01000=287, 01001=41, 01010=25, 01011=118, 01100=1, 01110=1, 01111=1, 10000=169, 10001=29, 10010=11, 10011=43, 11000=159, 11001=35, 11010=11, 11011=46, 11100=2, 11101=2};8192;0.800537109;5;21;4;68;55;8;5;0.000254337;0.012949518;26.666.666;5.457.778;0.0274;111939.77;98319.54;7;5;21;4;59;46;8;5
fbe95813-d43c-40ee-8f34-fc3529a5c1d8;1027e650-967d-45d6-b60f-200368104ce5;pattern0-1_2_3-4nCliffs1seed1;ibmq_quito;pytket;{00000=7421, 00001=109, 00010=114, 00011=46, 00100=133, 00101=5, 00110=5, 01000=136, 01001=2, 01010=12, 01011=3, 01100=2, 10000=130, 10001=3, 10010=3, 10011=2, 10100=3, 11000=57, 11010=3, 11011=2, 11100=1};8192;0.905883789;5;19;2;54;45;4;5;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;26;5;21;4;59;46;8;5
f3cedec0-c301-4299-845e-5b97ba0c98ec;1027e650-967d-45d6-b60f-200368104ce5;pattern0-1_2_3-4nCliffs1seed1;ibmq_quito;qiskit;{00000=6953, 00001=107, 00010=218, 00011=93, 00100=86, 00101=1, 01000=177, 01001=6, 01010=8, 01011=3, 10000=134, 10001=6, 10010=286, 10011=7, 10100=2, 10110=3, 11000=60, 11010=33, 11011=6, 11100=3};8192;0.848754883;5;21;4;66;53;8;5;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;26;5;21;4;59;46;8;5
bd1198d4-5d76-4658-8a8d-fa843e78131c;0b9763fa-df72-43bf-8602-2a6adf11d085;pattern0-1_2_3-4nCliffs10seed2;ibmq_belem;qiskit;{00000=5460, 00001=447, 00010=259, 00011=258, 00100=64, 00101=8, 00110=2, 00111=3, 01000=409, 01001=93, 01010=52, 01011=63, 01100=5, 01110=1, 10000=384, 10001=96, 10010=49, 10011=48, 10100=7, 11000=313, 11001=85, 11010=55, 11011=28, 11100=2, 11101=1};8192;0.666503906;5;89;16;277;243;29;5;0.000254337;0.012949518;26.666.666;5.457.778;0.0274;111939.77;98319.54;8;5;67;16;210;176;29;5
ae9f5dc4-f50d-49a8-b8c7-4b8d11b8d430;0b9763fa-df72-43bf-8602-2a6adf11d085;pattern0-1_2_3-4nCliffs10seed2;ibmq_belem;pytket;{00000=6026, 00001=333, 00010=312, 00011=235, 00100=59, 00101=7, 00110=1, 00111=3, 01000=292, 01001=46, 01010=60, 01011=28, 01100=4, 01101=1, 01111=1, 10000=241, 10001=41, 10010=42, 10011=30, 11000=261, 11001=84, 11010=51, 11011=30, 11100=2, 11110=2};8192;0.735595703;5;88;10;296;271;20;5;0.000254337;0.012949518;26.666.666;5.457.778;0.0274;111939.77;98319.54;8;5;67;16;210;176;29;5
331fa52c-4c0b-4aa6-9229-954e5b9f9a08;0b9763fa-df72-43bf-8602-2a6adf11d085;pattern0-1_2_3-4nCliffs10seed2;ibmq_lima;qiskit;{00000=5270, 00001=225, 00010=243, 00011=222, 00100=61, 00101=5, 00110=5, 00111=4, 01000=681, 01001=38, 01010=31, 01011=31, 01100=14, 01101=1, 10000=611, 10001=31, 10010=34, 10011=35, 10100=12, 10101=1, 11000=559, 11001=24, 11010=25, 11011=24, 11100=3, 11101=1, 11110=1};8192;0.643310547;5;90;16;280;246;29;5;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;16;5;67;16;210;176;29;5
32010620-f32f-4cb0-bcb5-e7483d7adf08;0b9763fa-df72-43bf-8602-2a6adf11d085;pattern0-1_2_3-4nCliffs10seed2;ibmq_lima;pytket;{00000=5914, 00001=477, 00010=531, 00011=439, 00100=90, 00101=6, 00110=8, 00111=3, 01000=171, 01001=20, 01010=21, 01011=8, 01100=5, 10000=272, 10001=19, 10010=30, 10011=16, 10100=5, 10110=2, 11000=127, 11001=6, 11010=13, 11011=8, 11100=1};8192;0.721923828;5;88;10;296;271;20;5;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;16;5;67;16;210;176;29;5
7775d964-f472-40de-bcdf-9869c3140945;3d5cd9e5-26ed-4254-9b38-6ea5ab228929;bv-fix-00110-qiskit;ibmq_bogota;pytket;{00000=91, 00001=4, 00010=481, 00011=15, 00100=301, 00101=19, 00110=6751, 00111=295, 01000=1, 01001=1, 01010=13, 01100=10, 01101=2, 01110=188, 01111=20};8192;0.82409668;5;10;2;36;30;2;4;0.000184556;0.008349201;26.666.666;39.822.223;0.03982;94376.96;135534.03;281;5;6;2;21;15;2;4
f7710c10-0179-491b-8d76-ce950c8042a0;0b9763fa-df72-43bf-8602-2a6adf11d085;pattern0-1_2_3-4nCliffs10seed2;ibmq_quito;qiskit;{00000=5501, 00001=238, 00010=118, 00011=223, 00100=97, 00101=7, 00110=9, 00111=3, 01000=543, 01001=63, 01010=126, 01011=56, 01100=7, 01101=1, 01110=4, 01111=1, 10000=287, 10001=111, 10010=131, 10011=70, 10100=4, 10101=1, 10110=2, 11000=394, 11001=33, 11010=56, 11011=95, 11100=8, 11101=1, 11110=1, 11111=1};8192;0.671508789;5;92;16;273;239;29;5;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;25;5;67;16;210;176;29;5
c1af04eb-9a86-43f2-ab34-11d37893a383;0b9763fa-df72-43bf-8602-2a6adf11d085;pattern0-1_2_3-4nCliffs10seed2;ibmq_quito;pytket;{00000=5560, 00001=452, 00010=244, 00011=323, 00100=117, 00101=10, 00110=6, 00111=2, 01000=197, 01001=37, 01010=10, 01011=18, 01100=2, 01101=1, 10000=462, 10001=85, 10010=39, 10011=78, 10100=6, 10101=5, 10110=1, 11000=283, 11001=196, 11010=15, 11011=28, 11100=13, 11101=1, 11110=1};8192;0.678710938;5;88;10;296;271;20;5;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;25;5;67;16;210;176;29;5
0605fa05-62fa-44b1-8bb0-471580e71c32;1027e650-967d-45d6-b60f-200368104ce5;pattern0-1_2_3-4nCliffs1seed1;ibmq_lima;qiskit;{00000=6992, 00001=102, 00010=116, 00011=66, 00100=56, 00101=1, 00110=1, 00111=1, 01000=304, 01001=3, 01010=7, 01011=5, 01100=4, 10000=327, 10001=6, 10010=6, 10011=6, 10100=2, 11000=183, 11010=3, 11100=1};8192;0.853515625;5;22;4;67;54;8;5;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;15;5;21;4;59;46;8;5
4acdd9b9-7db6-4086-9657-58c61b0cb400;1027e650-967d-45d6-b60f-200368104ce5;pattern0-1_2_3-4nCliffs1seed1;ibmq_lima;pytket;{00000=7369, 00001=284, 00010=160, 00011=108, 00100=43, 00101=3, 00110=4, 01000=79, 01001=1, 01010=1, 01011=2, 01100=4, 10000=96, 10001=6, 10010=4, 10011=2, 10100=2, 11000=24};8192;0.899536133;5;19;2;54;45;4;5;0.000360316;0.013195274;26.666.666;38.755.554;0.0415;80360.09;99525.98;15;5;21;4;59;46;8;5
85eecee9-9603-4968-b8d9-230704236d9e;1027e650-967d-45d6-b60f-200368104ce5;pattern0-1_2_3-4nCliffs1seed1;ibmq_belem;pytket;{00000=7067, 00001=227, 00010=49, 00011=54, 00100=54, 00101=1, 00110=2, 01000=361, 01001=77, 01010=5, 01011=5, 01100=7, 10000=168, 10001=53, 10010=2, 11000=42, 11001=11, 11010=1, 11011=4, 11100=2};8192;0.862670898;5;19;2;54;45;4;5;0.000254337;0.012949518;26.666.666;5.457.778;0.0274;111939.77;98319.54;7;5;21;4;59;46;8;5
9d323784-1dfd-4327-9c66-a67de0165ff8;187168d7-9ba2-47a9-ad27-4f5457233353;pattern0-1_2_3-4nCliffs1seed2;ibmq_quito;pytket;{00000=7242, 00001=98, 10000=118, 10100=2, 10011=2, 10010=2, 10001=2, 11000=29, 11010=1, 00010=91, 00011=38, 00100=119, 00101=3, 01000=417, 01001=3, 01010=8, 01011=5, 01100=12};8192;0.884033203;5;20;2;65;56;4;5;0.000196667;0.008907793;26.666.666;27.733.334;0.02598;140240.8;122578.13;26;5;13;2;43;34;4;5
