compiler_0;compiler_1;original_width;original_depth;original_multi_qubit_gate_depth;original_total_number_of_operations;original_number_of_single_qubit_gates;original_number_of_multi_qubit_gates;original_number_of_measurement_operations;avg_single_qubit_gate_error;avg_multi_qubit_gate_error;avg_single_qubit_gate_time;avg_multi_qubit_gate_time;avg_readout_error;t1;t2;model
4.2560755261225387e+27;4.2560755261225013e+27;0.052193226382050206;6.353691671772829;1.472370678951513;3.1430109528937224e+25;2.3508631051686518e+25;5.7999150080868336e+23;1.6195593822000967e+21;3.2059059918898766e+27;1.8681387346243957e+27;0.0;1.3397673856987386e+27;3.091225353833247e+26;4.799382521735613e+25;1.8872799535498705e+26;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('linearregression', LinearRegression())])"
0.020074915583553395;0.0200749155835509;0.07849844293735755;1.4111931233338437;0.042332579228563934;0.6984688558997301;0.8137863137895682;0.18643025722642426;0.19096150250073757;0.03070760540299273;0.0012409840334863943;0.0;0.07336571775065351;0.012820397765273956;0.05142477324156466;0.006042206166509871;Pipeline(steps=[('standardscaler', StandardScaler()), ('ridge', Ridge())])
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Pipeline(steps=[('standardscaler', StandardScaler()), ('lasso', Lasso())])
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('elasticnet', ElasticNet())])"
0.010593271377928959;0.02996078743374092;0.05716591477168946;6.718863653473392;1.6039155876343727;0.0;7.1021208465169465;0.02934018642041104;0.18330241018039026;0.05095192017209034;0.0;0.0;0.04020028313004291;0.0;0.10336656438404226;0.0;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('lars', Lars(normalize=False))])"
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('lassolars', LassoLars(normalize=False))])"
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3255415953692442;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('orthogonalmatchingpursuit',
                 OrthogonalMatchingPursuit(normalize=False))])"
0.01998160402142336;0.019981604021399844;0.07887042510007453;1.1521526812725011;0.019534715828879667;0.6391321098700936;0.723316503759171;0.243919711751516;0.18908623149191023;0.03042237634691645;0.0010684686075463367;0.0;0.07082654422285385;0.012683984520632444;0.04994370375131317;0.006364095560000842;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('bayesianridge', BayesianRidge())])"
0.01989630205304433;0.019896302055974657;0.04154938062412421;5.419645595550981;1.1053990160008162;0.00017191409982525218;5.871384949788882;0.0;0.14509239163801485;0.022350385196616068;0.0;0.0;0.035742536877820315;0.0;0.05633721259360702;0.0;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('ardregression', ARDRegression())])"
0.01544669439323342;0.01544669439323342;0.027214503812907742;0.02245136661893757;0.03806872258746292;0.08886449897751604;0.08318000283296902;0.1266367632257211;0.002058562619005232;0.0013625768777446744;0.0007279334384384595;0.0;0.009988177473881265;-2.0305019778499295e-06;0.001400825068357282;9.975834666206996e-05;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('tweedieregressor', TweedieRegressor())])"
0.019631845323960066;0.019631845323959805;0.06799545115897708;0.00621334149242112;0.0037291873267992735;0.11052884609959586;0.09303692080082762;0.264043964665471;0.026681288300785415;0.01257800619142406;0.0011694986292820652;0.0;0.04038436425559569;0.003463110602200724;0.01961370190117529;0.0011704124402553595;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('sgdregressor', SGDRegressor())])"
0.012561691755418413;0.012561691755418122;0.011871953639834993;0.28037208170678246;0.08058731784657543;0.4143722669875546;0.3863980895457637;0.671204369312459;0.06991464044578369;0.03410008378887701;-0.011143240355198468;0.0;0.08989991037338722;-0.002514738019403397;0.025847950655144326;-0.0016934634103986425;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('passiveaggressiveregressor', PassiveAggressiveRegressor())])"
9.50023516337845e+26;9.500235163378428e+26;0.5038581208040602;2.7237487632122823;0.9229774030543136;2.8557578948683002e+25;2.136574849439532e+25;5.2486988426623926e+23;1.388420914776004e+21;2.175722045733332e+26;2.7824177773480543e+26;0.0;7.123454882108767e+25;1.622426987617344e+25;5.7630100176074434e+25;1.3864480496841506e+26;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('ransacregressor', RANSACRegressor())])"
0.020607334295589107;0.020617187215091513;0.3352131707666607;1.442273416091472;0.2013904233053237;0.5575154034329313;0.6463725806248948;0.17165468622523697;0.4679082708382447;0.05824489694566136;0.001383720934701601;0.0;0.11985922043446336;0.03588811052684647;0.115753278578913;0.015745141418344915;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('theilsenregressor', TheilSenRegressor())])"
0.01816876390057253;0.018168763900572923;0.16985977339751507;4.656948680158149;1.2166492176571277;0.9694216574007897;1.243698577444997;0.03146704334885585;0.318077618997044;0.030788786231832017;0.0008082950077385444;0.0;0.06769267139675812;0.012209337406195916;0.048420296886151314;0.006950298706799231;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('huberregressor', HuberRegressor())])"
